State,DTI,Year
Alabama,1.32,2022
Alaska,1.6,2022
Arizona,1.72,2022
Arkansas,1.24,2022
California,1.6,2022
Colorado,1.72,2022
Connecticut,1.32,2022
Delaware,1.5,2022
Florida,1.6,2022
Georgia,1.4,2022
Hawaii,2.06,2022
Idaho,1.84,2022
Illinois,1.11,2022
Indiana,1.11,2022
Iowa,1.11,2022
Kansas,1.11,2022
Kentucky,1.11,2022
Louisiana,1.4,2022
Maine,1.5,2022
Maryland,1.84,2022
Massachusetts,1.11,2022
Michigan,1.24,2022
Minnesota,1.24,2022
Mississippi,1.4,2022
Missouri,1.24,2022
Montana,1.6,2022
Nebraska,1.11,2022
Nevada,1.72,2022
New Hampshire,1.5,2022
New Jersey,1.5,2022
New Mexico,1.5,2022
New York,0.4,2022
North Carolina,1.4,2022
North Dakota,1.11,2022
Ohio,1.11,2022
Oklahoma,1.24,2022
Oregon,1.6,2022
Pennsylvania,1.11,2022
Rhode Island,1.5,2022
South Carolina,1.72,2022
South Dakota,1.11,2022
Tennessee,1.32,2022
Texas,1.11,2022
Utah,1.72,2022
Vermont,1.32,2022
Virginia,1.72,2022
Washington,1.5,2022
West Virginia,1.24,2022
Wisconsin,1.11,2022
Wyoming,1.4,2022
