State,DTI,Year,,,,State,DTI,Year,,,,,State,DTI,Year,,,,,,State,DTI,Year,,,,,State,DTI,Year
South Dakota,1.11,2024,,,,South Dakota,1.11,2022,,,,,South Dakota,1.24,2020,,,,,,South Dakota,1.5,2008,,,,,South Dakota,0.4,1999
Tennessee,1.32,2024,,,,Tennessee,1.32,2022,,,,,Tennessee,1.4,2020,,,,,,Tennessee,1.6,2008,,,,,Tennessee,1.11,1999
Texas,1.11,2024,,,,Texas,1.11,2022,,,,,Texas,1.24,2020,,,,,,Texas,1.24,2008,,,,,Texas,0.4,1999
Utah,1.72,2024,,,,Utah,1.72,2022,,,,,Utah,1.72,2020,,,,,,Utah,2.06,2008,,,,,Utah,1.24,1999
Vermont,1.24,2024,,,,Vermont,1.32,2022,,,,,Vermont,1.5,2020,,,,,,Vermont,1.6,2008,,,,,Vermont,0.4,1999
Virginia,1.6,2024,,,,Virginia,1.72,2022,,,,,Virginia,1.84,2020,,,,,,Virginia,2.06,2008,,,,,Virginia,1.32,1999
Washington,1.5,2024,,,,Washington,1.5,2022,,,,,Washington,1.6,2020,,,,,,Washington,2.06,2008,,,,,Washington,1.4,1999
West Virginia,1.11,2024,,,,West Virginia,1.24,2022,,,,,West Virginia,1.4,2020,,,,,,West Virginia,1.32,2008,,,,,West Virginia,0.4,1999
Wisconsin,1.11,2024,,,,Wisconsin,1.11,2022,,,,,Wisconsin,1.24,2020,,,,,,Wisconsin,1.4,2008,,,,,Wisconsin,0.4,1999
Wyoming,1.4,2024,,,,Wyoming,1.4,2022,,,,,Wyoming,1.6,2020,,,,,,Wyoming,1.32,2008,,,,,Wyoming,0.4,1999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
