State,DTI,Year
Alabama,1.4,2020
Alaska,1.6,2020
Arizona,1.72,2020
Arkansas,1.24,2020
California,1.72,2020
Colorado,1.84,2020
Connecticut,1.4,2020
Delaware,1.6,2020
Florida,1.84,2020
Georgia,1.5,2020
Hawaii,2.06,2020
Idaho,1.84,2020
Illinois,1.24,2020
Indiana,1.32,2020
Iowa,1.11,2020
Kansas,1.11,2020
Kentucky,1.24,2020
Louisiana,1.4,2020
Maine,1.6,2020
Maryland,1.84,2020
Massachusetts,1.24,2020
Michigan,1.32,2020
Minnesota,1.32,2020
Mississippi,1.5,2020
Missouri,1.32,2020
Montana,1.84,2020
Nebraska,1.11,2020
Nevada,2.06,2020
New Hampshire,1.6,2020
New Jersey,1.6,2020
New Mexico,1.6,2020
New York,0.4,2020
North Carolina,1.6,2020
North Dakota,1.11,2020
Ohio,1.24,2020
Oklahoma,1.24,2020
Oregon,1.72,2020
Pennsylvania,1.32,2020
Rhode Island,1.6,2020
South Carolina,1.84,2020
South Dakota,1.24,2020
Tennessee,1.4,2020
Texas,1.24,2020
Utah,1.72,2020
Vermont,1.5,2020
Virginia,1.84,2020
Washington,1.6,2020
West Virginia,1.4,2020
Wisconsin,1.24,2020
Wyoming,1.6,2020
