State,DTI,Year
Alabama,0.4,1999
Alaska,1.24,1999
Arizona,1.24,1999
Arkansas,0.4,1999
California,1.5,1999
Colorado,1.24,1999
Connecticut,0.4,1999
Delaware,0.4,1999
Florida,1.4,1999
Georgia,1.11,1999
Hawaii,1.72,1999
Idaho,1.4,1999
Illinois,0.4,1999
Indiana,0.4,1999
Iowa,0.4,1999
Kansas,0.4,1999
Kentucky,0.4,1999
Louisiana,0.4,1999
Maine,0.4,1999
Maryland,1.5,1999
Massachusetts,0.4,1999
Michigan,0.4,1999
Minnesota,0.4,1999
Mississippi,0.4,1999
Missouri,0.4,1999
Montana,1.24,1999
Nebraska,0.4,1999
Nevada,1.32,1999
New Hampshire,0.4,1999
New Jersey,0.4,1999
New Mexico,1.32,1999
New York,0.4,1999
North Carolina,1.11,1999
North Dakota,0.4,1999
Ohio,0.4,1999
Oklahoma,0.4,1999
Oregon,1.32,1999
Pennsylvania,0.4,1999
Rhode Island,1.11,1999
South Carolina,1.11,1999
South Dakota,0.4,1999
Tennessee,1.11,1999
Texas,0.4,1999
Utah,1.24,1999
Vermont,0.4,1999
Virginia,1.32,1999
Washington,1.4,1999
West Virginia,0.4,1999
Wisconsin,0.4,1999
Wyoming,0.4,1999
